Datum,Wert,Einheit
03.08. 00:15,0.0,kW
03.08. 00:30,0.0,kW
03.08. 00:45,0.0,kW
03.08. 01:00,0.0,kW
03.08. 01:15,0.0,kW
03.08. 01:30,0.0,kW
03.08. 01:45,0.0,kW
03.08. 02:00,0.0,kW
03.08. 02:15,0.0,kW
03.08. 02:30,0.0,kW
03.08. 02:45,0.0,kW
03.08. 03:00,0.0,kW
03.08. 03:15,0.0,kW
03.08. 03:30,0.0,kW
03.08. 03:45,0.0,kW
03.08. 04:00,0.0,kW
03.08. 04:15,0.0,kW
03.08. 04:30,0.0,kW
03.08. 04:45,0.0,kW
03.08. 05:00,0.0,kW
03.08. 05:15,0.0,kW
03.08. 05:30,0.0,kW
03.08. 05:45,0.0,kW
03.08. 06:00,0.0,kW
03.08. 06:15,0.0,kW
03.08. 06:30,0.0,kW
03.08. 06:45,0.09,kW
03.08. 07:00,0.13,kW
03.08. 07:15,0.17,kW
03.08. 07:30,0.23,kW
03.08. 07:45,0.28,kW
03.08. 08:00,0.38,kW
03.08. 08:15,0.84,kW
03.08. 08:30,1.02,kW
03.08. 08:45,1.01,kW
03.08. 09:00,1.36,kW
03.08. 09:15,2.0,kW
03.08. 09:30,2.96,kW
03.08. 09:45,3.9,kW
03.08. 10:00,4.51,kW
03.08. 10:15,5.13,kW
03.08. 10:30,5.59,kW
03.08. 10:45,5.92,kW
03.08. 11:00,6.27,kW
03.08. 11:15,6.64,kW
03.08. 11:30,6.95,kW
03.08. 11:45,7.2,kW
03.08. 12:00,7.44,kW
03.08. 12:15,7.72,kW
03.08. 12:30,7.8,kW
03.08. 12:45,7.99,kW
03.08. 13:00,8.16,kW
03.08. 13:15,8.27,kW
03.08. 13:30,8.29,kW
03.08. 13:45,8.36,kW
03.08. 14:00,8.38,kW
03.08. 14:15,8.35,kW
03.08. 14:30,8.3,kW
03.08. 14:45,8.29,kW
03.08. 15:00,8.15,kW
03.08. 15:15,7.95,kW
03.08. 15:30,7.8,kW
03.08. 15:45,7.56,kW
03.08. 16:00,7.3,kW
03.08. 16:15,7.03,kW
03.08. 16:30,6.76,kW
03.08. 16:45,6.51,kW
03.08. 17:00,6.06,kW
03.08. 17:15,5.73,kW
03.08. 17:30,5.35,kW
03.08. 17:45,4.97,kW
03.08. 18:00,4.56,kW
03.08. 18:15,4.11,kW
03.08. 18:30,3.63,kW
03.08. 18:45,3.06,kW
03.08. 19:00,2.65,kW
03.08. 19:15,2.16,kW
03.08. 19:30,1.53,kW
03.08. 19:45,0.75,kW
03.08. 20:00,0.28,kW
03.08. 20:15,0.2,kW
03.08. 20:30,0.13,kW
03.08. 20:45,0.08,kW
03.08. 21:00,0.04,kW
03.08. 21:15,0.01,kW
03.08. 21:30,0.0,kW
03.08. 21:45,0.0,kW
03.08. 22:00,0.0,kW
03.08. 22:15,0.0,kW
03.08. 22:30,0.0,kW
03.08. 22:45,0.0,kW
03.08. 23:00,0.0,kW
03.08. 23:15,0.0,kW
03.08. 23:30,0.0,kW
03.08. 23:45,0.0,kW
04.08. 00:00,0.0,kW
04.08. 00:15,0.0,kW
04.08. 00:30,0.0,kW
04.08. 00:45,0.0,kW
04.08. 01:00,0.0,kW
04.08. 01:15,0.0,kW
04.08. 01:30,0.0,kW
04.08. 01:45,0.0,kW
04.08. 02:00,0.0,kW
04.08. 02:15,0.0,kW
04.08. 02:30,0.0,kW
04.08. 02:45,0.0,kW
04.08. 03:00,0.0,kW
04.08. 03:15,0.0,kW
04.08. 03:30,0.0,kW
04.08. 03:45,0.0,kW
04.08. 04:00,0.0,kW
04.08. 04:15,0.0,kW
04.08. 04:30,0.0,kW
04.08. 04:45,0.0,kW
04.08. 05:00,0.0,kW
04.08. 05:15,0.0,kW
04.08. 05:30,0.0,kW
04.08. 05:45,0.0,kW
04.08. 06:00,0.0,kW
04.08. 06:15,0.0,kW
04.08. 06:30,0.0,kW
04.08. 06:45,0.05,kW
04.08. 07:00,0.15,kW
04.08. 07:15,0.19,kW
04.08. 07:30,0.24,kW
04.08. 07:45,0.3,kW
04.08. 08:00,0.38,kW
04.08. 08:15,0.86,kW
04.08. 08:30,0.95,kW
04.08. 08:45,0.96,kW
04.08. 09:00,1.24,kW
04.08. 09:15,1.97,kW
04.08. 09:30,2.97,kW
04.08. 09:45,3.78,kW
04.08. 10:00,4.43,kW
04.08. 10:15,4.73,kW
04.08. 10:30,5.39,kW
04.08. 10:45,5.93,kW
04.08. 11:00,6.26,kW
04.08. 11:15,6.61,kW
04.08. 11:30,6.9,kW
04.08. 11:45,7.19,kW
04.08. 12:00,7.43,kW
04.08. 12:15,7.65,kW
04.08. 12:30,7.83,kW
04.08. 12:45,7.97,kW
04.08. 13:00,8.07,kW
04.08. 13:15,8.19,kW
04.08. 13:30,8.26,kW
04.08. 13:45,8.32,kW
04.08. 14:00,8.31,kW
04.08. 14:15,8.31,kW
04.08. 14:30,8.22,kW
04.08. 14:45,8.15,kW
04.08. 15:00,8.04,kW
04.08. 15:15,8.05,kW
04.08. 15:30,7.91,kW
04.08. 15:45,7.66,kW
04.08. 16:00,7.35,kW
04.08. 16:15,7.09,kW
04.08. 16:30,6.8,kW
04.08. 16:45,6.52,kW
04.08. 17:00,6.14,kW
04.08. 17:15,5.74,kW
04.08. 17:30,5.18,kW
04.08. 17:45,4.84,kW
04.08. 18:00,4.41,kW
04.08. 18:15,3.88,kW
04.08. 18:30,3.39,kW
04.08. 18:45,2.92,kW
04.08. 19:00,1.61,kW
04.08. 19:15,0.79,kW
04.08. 19:30,1.31,kW
04.08. 19:45,0.84,kW
04.08. 20:00,0.34,kW
04.08. 20:15,0.24,kW
04.08. 20:30,0.14,kW
04.08. 20:45,0.06,kW
04.08. 21:00,0.02,kW
04.08. 21:15,0.0,kW
04.08. 21:30,0.0,kW
04.08. 21:45,0.0,kW
04.08. 22:00,0.0,kW
04.08. 22:15,0.0,kW
04.08. 22:30,0.0,kW
04.08. 22:45,0.0,kW
04.08. 23:00,0.0,kW
04.08. 23:15,0.0,kW
04.08. 23:30,0.0,kW
04.08. 23:45,0.0,kW
05.08. 00:00,0.0,kW
05.08. 00:15,0.0,kW
05.08. 00:30,0.0,kW
05.08. 00:45,0.0,kW
05.08. 01:00,0.0,kW
05.08. 01:15,0.0,kW
05.08. 01:30,0.0,kW
05.08. 01:45,0.0,kW
05.08. 02:00,0.0,kW
05.08. 02:15,0.0,kW
05.08. 02:30,0.0,kW
05.08. 02:45,0.0,kW
05.08. 03:00,0.0,kW
05.08. 03:15,0.0,kW
05.08. 03:30,0.0,kW
05.08. 03:45,0.0,kW
05.08. 04:00,0.0,kW
05.08. 04:15,0.0,kW
05.08. 04:30,0.0,kW
05.08. 04:45,0.0,kW
05.08. 05:00,0.0,kW
05.08. 05:15,0.0,kW
05.08. 05:30,0.0,kW
05.08. 05:45,0.0,kW
05.08. 06:00,0.0,kW
05.08. 06:15,0.0,kW
05.08. 06:30,0.0,kW
05.08. 06:45,0.0,kW
05.08. 07:00,0.02,kW
05.08. 07:15,0.28,kW
05.08. 07:30,0.72,kW
05.08. 07:45,0.53,kW
05.08. 08:00,0.25,kW
05.08. 08:15,0.29,kW
05.08. 08:30,0.87,kW
05.08. 08:45,0.47,kW
05.08. 09:00,0.52,kW
05.08. 09:15,2.28,kW
05.08. 09:30,2.44,kW
05.08. 09:45,3.38,kW
05.08. 10:00,4.65,kW
05.08. 10:15,4.11,kW
05.08. 10:30,5.94,kW
05.08. 10:45,5.54,kW
05.08. 11:00,2.68,kW
05.08. 11:15,3.71,kW
05.08. 11:30,4.85,kW
05.08. 11:45,7.24,kW
05.08. 12:00,7.44,kW
05.08. 12:15,7.43,kW
05.08. 12:30,7.45,kW
05.08. 12:45,7.71,kW
05.08. 13:00,7.95,kW
05.08. 13:15,7.77,kW
05.08. 13:30,8.26,kW
05.08. 13:45,7.79,kW
05.08. 14:00,8.29,kW
05.08. 14:15,8.23,kW
05.08. 14:30,7.44,kW
05.08. 14:45,6.45,kW
05.08. 15:00,6.02,kW
05.08. 15:15,5.89,kW
05.08. 15:30,4.55,kW
05.08. 15:45,4.05,kW
05.08. 16:00,3.42,kW
05.08. 16:15,2.83,kW
05.08. 16:30,5.95,kW
05.08. 16:45,5.48,kW
05.08. 17:00,5.47,kW
05.08. 17:15,3.25,kW
05.08. 17:30,1.99,kW
05.08. 17:45,1.48,kW
05.08. 18:00,1.29,kW
05.08. 18:15,0.77,kW
05.08. 18:30,0.92,kW
05.08. 18:45,0.85,kW
05.08. 19:00,1.03,kW
05.08. 19:15,0.9,kW
05.08. 19:30,1.08,kW
05.08. 19:45,0.74,kW
05.08. 20:00,0.46,kW
05.08. 20:15,0.31,kW
05.08. 20:30,0.2,kW
05.08. 20:45,0.12,kW
05.08. 21:00,0.05,kW
05.08. 21:15,0.02,kW
05.08. 21:30,0.0,kW
05.08. 21:45,0.0,kW
05.08. 22:00,0.0,kW
05.08. 22:15,0.0,kW
05.08. 22:30,0.0,kW
05.08. 22:45,0.0,kW
05.08. 23:00,0.0,kW
05.08. 23:15,0.0,kW
05.08. 23:30,0.0,kW
05.08. 23:45,0.0,kW
06.08. 00:00,0.0,kW
06.08. 00:15,0.0,kW
06.08. 00:30,0.0,kW
06.08. 00:45,0.0,kW
06.08. 01:00,0.0,kW
06.08. 01:15,0.0,kW
06.08. 01:30,0.0,kW
